"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","sep"
"1",0,1,1,0.25,1,0.5,0.2,0.666666666666667,0.25,0,0.666666666666667,0.25,0.666666666666667,0.25,0.5,1,0.25,0.333333333333333,0.666666666666667,0.333333333333333,"tab"
"2",1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,"tab"
"3",1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,"tab"
"4",0.25,1,1,0,1,0.666666666666667,0.4,0.333333333333333,0,0.25,0.333333333333333,0,0.333333333333333,0,0.333333333333333,1,0,0,0.333333333333333,0,"tab"
"5",1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,"tab"
"6",0.5,1,1,0.666666666666667,1,0,0.25,0.833333333333333,0.571428571428571,0.428571428571429,0.833333333333333,0.666666666666667,0.833333333333333,0.571428571428571,0.714285714285714,1,0.571428571428571,0.666666666666667,0.833333333333333,0.666666666666667,"tab"
"7",0.2,1,1,0.4,1,0.25,0,0.6,0.4,0.25,0.75,0.4,0.75,0.4,0.6,1,0.4,0.4,0.75,0.4,"tab"
"8",0.666666666666667,1,1,0.333333333333333,1,0.833333333333333,0.6,0,0.333333333333333,0.5,0,0.333333333333333,0,0.333333333333333,0,1,0.333333333333333,0.5,0,0.5,"tab"
"9",0.25,1,1,0,1,0.571428571428571,0.4,0.333333333333333,0,0.25,0.5,0,0.5,0,0.333333333333333,1,0,0,0.5,0,"tab"
"10",0,1,1,0.25,1,0.428571428571429,0.25,0.5,0.25,0,0.666666666666667,0.25,0.666666666666667,0.25,0.5,1,0.25,0.25,0.666666666666667,0.25,"tab"
"11",0.666666666666667,1,1,0.333333333333333,1,0.833333333333333,0.75,0,0.5,0.666666666666667,0,0.5,0,0.5,0,1,0.333333333333333,0.5,0,0.333333333333333,"tab"
"12",0.25,1,1,0,1,0.666666666666667,0.4,0.333333333333333,0,0.25,0.5,0,0.5,0,0.333333333333333,1,0,0,0.5,0,"tab"
"13",0.666666666666667,1,1,0.333333333333333,1,0.833333333333333,0.75,0,0.5,0.666666666666667,0,0.5,0,0.5,0,1,0.333333333333333,0.5,0,0.333333333333333,"tab"
"14",0.25,1,1,0,1,0.571428571428571,0.4,0.333333333333333,0,0.25,0.5,0,0.5,0,0.333333333333333,1,0,0,0.5,0,"tab"
"15",0.5,1,1,0.333333333333333,1,0.714285714285714,0.6,0,0.333333333333333,0.5,0,0.333333333333333,0,0.333333333333333,0,1,0.5,0.333333333333333,0,0.333333333333333,"tab"
"16",1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,"tab"
"17",0.25,1,1,0,1,0.571428571428571,0.4,0.333333333333333,0,0.25,0.333333333333333,0,0.333333333333333,0,0.5,1,0,0,0.333333333333333,0,"tab"
"18",0.333333333333333,1,1,0,1,0.666666666666667,0.4,0.5,0,0.25,0.5,0,0.5,0,0.333333333333333,1,0,0,0.5,0,"tab"
"19",0.666666666666667,1,1,0.333333333333333,1,0.833333333333333,0.75,0,0.5,0.666666666666667,0,0.5,0,0.5,0,1,0.333333333333333,0.5,0,0.333333333333333,"tab"
"20",0.333333333333333,1,1,0,1,0.666666666666667,0.4,0.5,0,0.25,0.333333333333333,0,0.333333333333333,0,0.333333333333333,1,0,0,0.333333333333333,0,"tab"
